cust_id,activated_date,last_payment_date,cash_advance,credit_limit,cash_advance_percentage_respect_credit_limit
12709,2020-01,2020-05-08,2431.292076,8000.0,30.39
12710,2020-01,2020-05-26,0.0,2000.0,0.0
12712,2020-01,2020-10-20,0.0,3000.0,0.0
12713,2020-01,2020-08-22,0.0,9000.0,0.0
12714,2020-01,2020-04-26,78.763096,1500.0,5.25
12715,2020-01,2020-10-16,0.0,4000.0,0.0
12716,2020-01,2020-05-06,2260.73569,9000.0,25.12
12717,2020-01,2020-08-13,611.974158,3500.0,17.48
12718,2020-01,2020-08-28,0.0,9000.0,0.0
12719,2020-01,2020-07-15,4200.991254,9000.0,46.68
12720,2020-01,2020-05-06,2144.180453,7500.0,28.59
12721,2020-01,2020-08-27,0.0,1500.0,0.0
12722,2020-01,2020-10-27,6171.934509,12000.0,51.43
12723,2020-01,2020-08-09,0.0,7500.0,0.0
12724,2020-01,2020-05-16,0.0,1000.0,0.0
12725,2020-01,2020-05-24,689.185829,2300.0,29.96
12726,2020-01,2020-10-09,3325.302419,6500.0,51.16
12727,2020-01,2020-08-25,437.399211,10500.0,4.17
12728,2020-01,2020-07-24,456.396077,1950.0,23.4
12729,2020-01,2020-05-31,1846.252071,6500.0,28.4
12730,2020-01,2020-08-19,0.0,1200.0,0.0
12731,2020-01,2020-11-03,0.0,1200.0,0.0
12732,2020-01,2020-10-09,0.0,8500.0,0.0
12733,2020-01,2020-05-30,0.0,7000.0,0.0
12734,2020-01,2020-05-09,3860.699586,8500.0,45.42
12735,2020-01,2020-10-29,0.0,3000.0,0.0
12736,2020-01,2020-09-21,0.0,6000.0,0.0
12737,2020-01,2020-09-03,2909.753084,14000.0,20.78
12738,2020-01,2020-05-24,2119.702403,1200.0,176.64
12739,2020-01,2020-09-14,0.0,7500.0,0.0
12740,2020-01,2020-05-27,0.0,1000.0,0.0
12741,2020-01,2020-08-01,315.120089,3000.0,10.5
12742,2020-01,2020-08-11,0.0,3500.0,0.0
12743,2020-01,2020-05-09,0.0,2500.0,0.0
12744,2020-01,2020-08-12,1321.906162,3000.0,44.06
12745,2020-01,2020-07-29,0.0,7227.272727,0.0
12746,2020-01,2020-06-04,3603.787202,13550.0,26.6
12747,2020-01,2020-07-14,1906.43522,8000.0,23.83
12748,2020-01,2020-05-09,0.0,9200.0,0.0
12749,2020-01,2020-11-07,0.0,14500.0,0.0
12750,2020-01,2020-07-03,2404.829712,9000.0,26.72
12751,2020-01,2020-08-31,737.622804,6100.0,12.09
12752,2020-01,2020-07-01,0.0,13500.0,0.0
12753,2020-01,2020-07-22,2676.476175,3000.0,89.22
12754,2020-01,2020-11-07,4212.521736,7000.0,60.18
12755,2020-01,2020-08-07,7894.578816,9000.0,87.72
12756,2020-01,2020-09-03,0.0,2000.0,0.0
12757,2020-01,2020-11-05,6394.923585,7000.0,91.36
12758,2020-01,2020-10-11,8223.638112,7000.0,117.48
12759,2020-01,2020-05-03,9798.167329,10000.0,97.98
12760,2020-01,2020-10-11,0.0,2500.0,0.0
12761,2020-01,2020-07-25,2480.749691,4500.0,55.13
12762,2020-01,2020-09-28,5352.991545,5000.0,107.06
12763,2020-01,2020-08-13,0.0,6500.0,0.0
12764,2020-01,2020-09-02,0.0,6500.0,0.0
12765,2020-01,2020-08-23,0.0,6000.0,0.0
12766,2020-01,2020-08-28,0.0,1900.0,0.0
